date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2024-06-10,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-06-11,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-12,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-13,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-06-14,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-17,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-18,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-20,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-06-21,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-24,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-25,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-26,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-27,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-06-28,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-01,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-02,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-07-03,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-05,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-08,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-09,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-10,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-11,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-12,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-15,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-16,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-17,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-18,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-19,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-22,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-23,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-24,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-25,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-07-26,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-29,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-07-30,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-07-31,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-01,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-08-02,1013134.6820934843,1013134.6820934843,0,[],0,61
2024-08-05,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-06,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-07,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-08,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-09,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-12,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-13,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-14,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-15,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-16,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-19,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-20,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-21,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-22,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-23,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-26,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-27,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-28,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-08-29,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-08-30,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-09-03,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-09-04,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-09-05,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-09-06,1013134.6820934843,1013134.6820934843,0,[],0,61
2024-09-09,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-09-10,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-09-11,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-09-12,1013134.6820934843,1013134.6820934843,0,[],0,64
2024-09-13,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-09-16,1013134.6820934843,1013134.6820934843,0,[],0,63
2024-09-17,1013134.6820934843,1013134.6820934843,0,[],0,62
2024-09-18,1013134.6820934843,1013134.6820934843,0,[],1,60
2024-09-19,1012776.5007312251,929724.2143046809,1,['XLU'],0,60
2024-09-20,1014969.3762538387,929724.2143046809,1,['XLU'],1,62
2024-09-23,1016478.6507801828,846311.5372853098,2,"['XLU', 'NLR']",0,63
2024-09-24,1017712.7133095483,931173.8148796777,1,['NLR'],0,63
2024-09-25,1018062.5773918848,931173.8148796777,1,['NLR'],1,62
2024-09-26,1018114.5136232092,847788.9734239294,2,"['NLR', 'FXI']",0,63
2024-09-27,1017633.433378547,1017633.433378547,0,[],0,63
2024-09-30,1017633.433378547,1017633.433378547,0,[],0,62
2024-10-01,1017633.433378547,1017633.433378547,0,[],0,63
2024-10-02,1017633.433378547,1017633.433378547,0,[],0,64
2024-10-03,1017633.433378547,1017633.433378547,0,[],0,62
2024-10-04,1017633.433378547,1017633.433378547,0,[],1,63
2024-10-07,1020350.0568129678,934260.7946669717,1,['LIT'],0,62
2024-10-08,1016728.5743987222,934260.7946669717,1,['LIT'],0,64
2024-10-09,1013861.8116334387,1013861.8116334387,0,[],0,64
2024-10-10,1013861.8116334387,1013861.8116334387,0,[],0,64
2024-10-11,1013861.8116334387,1013861.8116334387,0,[],0,64
2024-10-14,1013861.8116334387,1013861.8116334387,0,[],0,64
2024-10-15,1013861.8116334387,1013861.8116334387,0,[],0,63
2024-10-16,1013861.8116334387,1013861.8116334387,0,[],2,61
2024-10-17,1012711.0647354253,847050.8267669805,2,"['URA', 'URNM']",0,61
2024-10-18,1016617.9034729131,847050.8267669805,2,"['URA', 'URNM']",0,64
2024-10-21,1018151.5684570655,1018151.5684570655,0,[],0,63
2024-10-22,1018151.5684570655,1018151.5684570655,0,[],0,63
2024-10-23,1018151.5684570655,1018151.5684570655,0,[],0,64
2024-10-24,1018151.5684570655,1018151.5684570655,0,[],0,64
2024-10-25,1018151.5684570655,1018151.5684570655,0,[],0,64
2024-10-28,1018151.5684570655,1018151.5684570655,0,[],1,61
2024-10-29,1017476.5045867753,934776.8269744706,1,['BLOK'],2,62
2024-10-30,1016312.4012738249,851378.5982037565,2,"['BLOK', 'IBIT']",0,64
2024-10-31,1015346.4892277981,1015346.4892277981,0,[],0,62
2024-11-01,1015346.4892277981,1015346.4892277981,0,[],0,62
2024-11-04,1015346.4892277981,1015346.4892277981,0,[],0,63
2024-11-05,1015346.4892277981,1015346.4892277981,0,[],0,64
2024-11-06,1015346.4892277981,1015346.4892277981,0,[],2,61
2024-11-07,1019005.3946504559,848531.2082033124,2,"['IBIT', 'BLOK']",0,63
2024-11-08,1019415.9028134339,933026.5210766785,1,['BLOK'],0,62
2024-11-11,1027041.8436818116,933026.5210766785,1,['BLOK'],1,61
2024-11-12,1029791.0615307355,849624.0051418805,2,"['BLOK', 'IBIT']",0,63
2024-11-13,1030301.9188282687,1030301.9188282687,0,[],0,63
2024-11-14,1030301.9188282687,1030301.9188282687,0,[],0,62
2024-11-15,1030301.9188282687,1030301.9188282687,0,[],0,63
2024-11-18,1030301.9188282687,1030301.9188282687,0,[],0,64
2024-11-19,1030301.9188282687,1030301.9188282687,0,[],0,63
2024-11-20,1030301.9188282687,1030301.9188282687,0,[],0,64
2024-11-21,1030301.9188282687,1030301.9188282687,0,[],0,64
2024-11-22,1030301.9188282687,1030301.9188282687,0,[],0,64
2024-11-25,1030301.9188282687,1030301.9188282687,0,[],0,64
2024-11-26,1030301.9188282687,1030301.9188282687,0,[],0,64
