date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-06-20,1000000.0,1090493.4687610387,1000000.0,0,[],0,126
2025-06-23,1000000.0,1088014.1373435168,1000000.0,0,[],0,125
2025-06-24,1000000.0,1090222.2697208044,1000000.0,0,[],0,124
2025-06-25,1000000.0,1097892.568295106,1000000.0,0,[],0,126
2025-06-26,1000000.0,1109436.7335435145,1000000.0,0,[],0,126
2025-06-27,1000000.0,1115518.6143738802,1000000.0,0,[],0,125
2025-06-30,1000000.0,1109901.5786290427,1000000.0,0,[],0,126
2025-07-01,1000000.0,1111179.9026142452,1000000.0,0,[],0,125
2025-07-02,1000000.0,1107073.6133973745,1000000.0,0,[],0,124
2025-07-03,1000000.0,1105562.8668694077,1000000.0,0,[],0,126
2025-07-04,1000000.0,1108351.937382577,1000000.0,0,[],0,126
2025-07-07,1000000.0,1108197.0678347535,1000000.0,0,[],0,125
2025-07-08,1000000.0,1111451.1016544797,1000000.0,0,[],0,125
2025-07-09,1000000.0,1109862.8021315725,1000000.0,0,[],0,126
2025-07-10,1000000.0,1104671.8349747928,1000000.0,0,[],0,126
2025-07-11,1000000.0,1096730.3373602568,1000000.0,0,[],0,125
2025-07-14,1000000.0,1095180.8143348198,1000000.0,0,[],0,124
2025-07-15,1000000.0,1098977.2462350149,1000000.0,0,[],0,125
2025-07-16,1000000.0,1098783.6001897212,1000000.0,0,[],0,125
2025-07-17,1000000.0,1095645.659420348,1000000.0,0,[],0,125
2025-07-18,1000000.0,1090222.2697208044,1000000.0,0,[],0,125
2025-07-21,1000000.0,1093437.6452640893,1000000.0,0,[],0,125
2025-07-22,1000000.0,1092701.6011383266,1000000.0,0,[],0,126
2025-07-23,1000000.0,1098357.4133806345,1000000.0,0,[],0,125
2025-07-24,1000000.0,1092817.8124097087,1000000.0,0,[],0,124
2025-07-25,1000000.0,1084798.8800212608,1000000.0,0,[],0,123
2025-07-28,1000000.0,1078833.0922412483,1000000.0,0,[],0,126
2025-07-29,1000000.0,1085031.302564025,1000000.0,0,[],0,126
2025-07-30,1000000.0,1085186.2903328773,1000000.0,0,[],0,126
2025-07-31,1000000.0,1081816.0452417692,1000000.0,0,[],0,126
2025-08-01,1000000.0,1074416.9457077018,1000000.0,0,[],0,126
2025-08-04,1000000.0,1080227.745718862,1000000.0,0,[],0,126
2025-08-05,1000000.0,1077477.3334821342,1000000.0,0,[],0,126
2025-08-06,1000000.0,1074261.9579388495,1000000.0,0,[],0,126
2025-08-07,1000000.0,1074184.5231649375,1000000.0,0,[],0,126
2025-08-08,1000000.0,1065855.733459814,1000000.0,0,[],0,126
2025-08-11,1000000.0,1074184.5231649375,1000000.0,0,[],0,126
2025-08-12,1000000.0,1071279.1231593576,1000000.0,0,[],0,126
2025-08-13,1000000.0,1077012.3701755772,1000000.0,0,[],0,126
2025-08-14,1000000.0,1077825.9672962804,1000000.0,0,[],0,126
2025-08-18,1000000.0,1088827.7344642198,1000000.0,0,[],0,126
